Logic PCB:,,,,,,
Designator,Footprint,Quantity,Value,LCSC Part #,LCSC Link,Notes
"BT1, J1",JST_EH_B2B-EH-A_1x02_P2.50mm_Vertical,1,Battery,C158012,https://www.lcsc.com/product-detail/C158012.html,
"C1, C13, C14, C2, C7",C_Disc_D3.4mm_W2.1mm_P2.50mm,5,100nF,C2832506,https://www.lcsc.com/product-detail/C2832506.html,
C10,CP_Radial_D6.3mm_P2.50mm,1,4.7uF,C106368,https://www.lcsc.com/product-detail/C106368.html,
"C11, C12",C_Disc_D3.4mm_W2.1mm_P2.50mm,2,20pF,C19712497,https://www.lcsc.com/product-detail/C19712497.html,
"C3, C4, C8, C9",CP_Radial_D6.3mm_P2.50mm,4,100uF,C112509,https://www.lcsc.com/product-detail/C112509.html,
C5,C_Disc_D3.4mm_W2.1mm_P2.50mm,1,1nF,C2832504,https://www.lcsc.com/product-detail/C2832504.html,
C6,C_Disc_D3.4mm_W2.1mm_P2.50mm,1,220pF,C2169557,https://www.lcsc.com/product-detail/C2169557.html,
"D1, D2, D4",D_DO-41_SOD81_P10.16mm_Horizontal,3,1N5819,C110032,https://www.lcsc.com/product-detail/C110032.html,
D3,D_DO-41_SOD81_P10.16mm_Horizontal,1,UF4007,C511041,https://www.lcsc.com/product-detail/C511041.html,
D5,D_DO-41_SOD81_P10.16mm_Horizontal,1,SB160,C2978860,https://www.lcsc.com/product-detail/C2978860.html,
F1,Fuseholder_Cylinder-5x20mm_Stelvio-Kontek_PTF78_Horizontal_Open,1,Fuse,C206887,https://www.lcsc.com/product-detail/C206887.html,
J3,PinSocket_1x16_P2.54mm_Vertical,1,Logic Out,C7501270,https://www.lcsc.com/product-detail/C7501270.html,
L1,L_Radial_D8.7mm_P5.00mm_Fastron_07HCP,1,100uH,C2924234,https://www.lcsc.com/product-detail/C2924234.html,
L2,L_Radial_D8.7mm_P5.00mm_Fastron_07HCP,1,150uH,C72625,https://www.lcsc.com/product-detail/C72625.html,
L3,L_Axial_L6.6mm_D2.7mm_P10.16mm_Horizontal_Vishay_IM-2,1,1uH,C19704338,https://www.lcsc.com/product-detail/C19704338.html,
Q1,TO-92_Inline,1,BC516,C14617,https://www.lcsc.com/product-detail/C14617.html,
"Q10, Q12, Q14, Q4, Q6, Q8",TO-92_Inline,6,KSP92BU,C231893,https://www.lcsc.com/product-detail/C231893.html,
"Q11, Q13, Q3, Q5, Q7, Q9",TO-92_Inline,6,MPSA42,C719821,https://www.lcsc.com/product-detail/C719821.html,
Q15,TO-220-3_Vertical,1,IRF9540N,C2575,https://www.lcsc.com/product-detail/C2575.html,
Q16,TO-92_Inline,1,2N3904,C124482,https://www.lcsc.com/product-detail/C124482.html,
Q2,TO-220-3_Vertical,1,IRF740,C2570,https://www.lcsc.com/product-detail/C2570.html,
R1,R_Axial_DIN0414_L11.9mm_D4.5mm_P15.24mm_Horizontal,1,0R75,C75144,https://www.lcsc.com/product-detail/C75144.html,
"R10, R12, R13, R14, R16, R17, R18, R20, R21, R23, R25, R27, R28, R30, R32, R34, R36, R38, R42, R43, R8, R9",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,22,10K,C2903232,https://www.lcsc.com/product-detail/C2903232.html,
"R11, R15, R19, R24, R29, R35",R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal,6,422K,C1367617,https://www.lcsc.com/product-detail/C1367617.html,
